USERID,CHECKTIME,CHECKTYPE,VERIFYCODE,SENSORID,Memoinfo,WorkCode,sn,UserExtFmt
1,"02/05/25 11:55:28","I",1,"1",,"0","A8N5232361065",1
1,"02/05/25 13:10:38","I",1,"1",,"0","A8N5232361065",1
1,"02/05/25 13:16:37","I",1,"1",,"0","A8N5232361065",1
1,"02/05/25 13:19:52","I",1,"1",,"0","A8N5232361065",1
1,"02/07/25 15:49:32","O",1,"1",,"0","A8N5232361065",1
1,"02/14/25 20:07:44","O",1,"1",,"0","A8N5232361065",1
2,"02/05/25 11:55:36","I",1,"1",,"0","A8N5232361065",1
2,"02/05/25 12:35:44","I",1,"1",,"0","A8N5232361065",1
2,"02/05/25 16:21:47","O",1,"1",,"0","A8N5232361065",1
2,"02/06/25 08:00:06","I",1,"1",,"0","A8N5232361065",1
2,"02/06/25 16:30:02","O",1,"1",,"0","A8N5232361065",1
2,"02/08/25 07:55:22","I",1,"1",,"0","A8N5232361065",1
2,"02/08/25 16:31:26","O",1,"1",,"0","A8N5232361065",1
2,"02/09/25 07:49:36","I",1,"1",,"0","A8N5232361065",1
2,"02/09/25 16:51:37","O",1,"1",,"0","A8N5232361065",1
2,"02/12/25 07:53:57","I",1,"1",,"0","A8N5232361065",1
2,"02/12/25 16:31:27","O",1,"1",,"0","A8N5232361065",1
2,"02/13/25 07:54:15","I",1,"1",,"0","A8N5232361065",1
2,"02/13/25 16:49:26","O",1,"1",,"0","A8N5232361065",1
2,"02/14/25 08:04:22","I",1,"1",,"0","A8N5232361065",1
2,"02/14/25 16:53:45","O",1,"1",,"0","A8N5232361065",1
2,"02/15/25 07:59:23","I",1,"1",,"0","A8N5232361065",1
2,"02/15/25 16:27:50","O",1,"1",,"0","A8N5232361065",1
2,"02/16/25 07:55:01","I",1,"1",,"0","A8N5232361065",1
2,"02/16/25 16:30:32","O",1,"1",,"0","A8N5232361065",1
2,"02/17/25 08:02:36","I",1,"1",,"0","A8N5232361065",1
2,"02/17/25 16:22:29","O",1,"1",,"0","A8N5232361065",1
2,"02/18/25 08:01:01","I",1,"1",,"0","A8N5232361065",1
2,"02/18/25 16:27:48","O",1,"1",,"0","A8N5232361065",1
2,"02/19/25 08:03:12","I",1,"1",,"0","A8N5232361065",1
2,"02/19/25 16:33:15","O",1,"1",,"0","A8N5232361065",1
2,"02/22/25 07:58:02","I",1,"1",,"0","A8N5232361065",1
2,"02/22/25 16:27:20","O",1,"1",,"0","A8N5232361065",1
2,"02/23/25 08:04:41","I",1,"1",,"0","A8N5232361065",1
2,"02/24/25 07:53:30","I",1,"1",,"0","A8N5232361065",1
2,"02/24/25 16:26:42","O",1,"1",,"0","A8N5232361065",1
2,"02/25/25 07:49:34","I",1,"1",,"0","A8N5232361065",1
2,"02/25/25 16:33:36","O",1,"1",,"0","A8N5232361065",1
2,"02/26/25 08:04:38","I",1,"1",,"0","A8N5232361065",1
2,"02/26/25 16:47:07","I",1,"1",,"0","A8N5232361065",1
2,"02/26/25 16:47:31","O",1,"1",,"0","A8N5232361065",1
2,"03/02/25 08:08:32","I",1,"1",,"0","A8N5232361065",1
2,"03/02/25 16:30:49","O",1,"1",,"0","A8N5232361065",1
2,"03/06/25 08:20:44","I",1,"1",,"0","A8N5232361065",1
2,"03/06/25 16:25:29","O",1,"1",,"0","A8N5232361065",1
2,"03/08/25 08:08:27","I",1,"1",,"0","A8N5232361065",1
2,"03/08/25 16:33:00","O",1,"1",,"0","A8N5232361065",1
2,"03/10/25 08:05:36","I",1,"1",,"0","A8N5232361065",1
2,"03/12/25 08:08:39","I",1,"1",,"0","A8N5232361065",1
2,"03/12/25 16:38:44","O",1,"1",,"0","A8N5232361065",1
2,"03/14/25 08:00:10","I",1,"1",,"0","A8N5232361065",1
2,"03/14/25 16:35:27","O",1,"1",,"0","A8N5232361065",1
2,"03/16/25 08:00:44","O",1,"1",,"0","A8N5232361065",1
2,"03/16/25 16:13:30","O",1,"1",,"0","A8N5232361065",1
2,"03/18/25 07:59:12","I",1,"1",,"0","A8N5232361065",1
2,"03/18/25 16:25:45","I",1,"1",,"0","A8N5232361065",1
2,"03/20/25 07:46:55","I",1,"1",,"0","A8N5232361065",1
2,"03/22/25 07:45:00","I",1,"1",,"0","A8N5232361065",1
2,"03/24/25 08:01:58","I",1,"1",,"0","A8N5232361065",1
2,"03/24/25 16:24:29","O",1,"1",,"0","A8N5232361065",1
2,"03/26/25 08:01:00","I",1,"1",,"0","A8N5232361065",1
2,"03/26/25 16:17:36","O",1,"1",,"0","A8N5232361065",1
2,"03/28/25 08:02:29","I",1,"1",,"0","A8N5232361065",1
2,"03/28/25 16:43:55","I",1,"1",,"0","A8N5232361065",1
2,"03/30/25 08:02:27","O",1,"1",,"0","A8N5232361065",1
2,"03/30/25 16:14:35","O",1,"1",,"0","A8N5232361065",1
2,"04/02/25 07:53:31","I",1,"1",,"0","A8N5232361065",1
2,"04/02/25 16:32:02","O",1,"1",,"0","A8N5232361065",1
2,"04/05/25 07:30:12","O",1,"1",,"0","A8N5232361065",1
2,"04/05/25 16:31:11","I",1,"1",,"0","A8N5232361065",1
2,"04/06/25 07:35:53","I",1,"1",,"0","A8N5232361065",1
2,"04/06/25 16:30:15","I",1,"1",,"0","A8N5232361065",1
2,"04/06/25 16:30:48","O",1,"1",,"0","A8N5232361065",1
2,"04/07/25 07:52:10","I",1,"1",,"0","A8N5232361065",1
2,"04/07/25 16:40:37","O",1,"1",,"0","A8N5232361065",1
2,"04/08/25 16:34:01","I",1,"1",,"0","A8N5232361065",1
2,"04/08/25 17:09:16","O",1,"1",,"0","A8N5232361065",1
2,"04/09/25 08:11:07","I",1,"1",,"0","A8N5232361065",1
2,"04/12/25 07:36:49","I",1,"1",,"0","A8N5232361065",1
2,"04/12/25 16:31:52","O",1,"1",,"0","A8N5232361065",1
2,"04/13/25 07:53:58","O",1,"1",,"0","A8N5232361065",1
2,"04/13/25 07:54:07","I",1,"1",,"0","A8N5232361065",1
2,"04/13/25 16:56:04","O",1,"1",,"0","A8N5232361065",1
2,"04/14/25 07:57:06","I",1,"1",,"0","A8N5232361065",1
2,"04/14/25 16:49:38","O",1,"1",,"0","A8N5232361065",1
2,"04/15/25 07:32:47","O",1,"1",,"0","A8N5232361065",1
2,"04/15/25 16:17:51","I",1,"1",,"0","A8N5232361065",1
2,"04/16/25 07:50:07","I",1,"1",,"0","A8N5232361065",1
2,"04/19/25 07:38:43","I",1,"1",,"0","A8N5232361065",1
2,"04/19/25 16:24:57","O",1,"1",,"0","A8N5232361065",1
2,"04/20/25 07:59:58","I",1,"1",,"0","A8N5232361065",1
2,"04/20/25 16:31:39","O",1,"1",,"0","A8N5232361065",1
2,"04/21/25 07:57:51","I",1,"1",,"0","A8N5232361065",1
2,"04/21/25 16:41:26","O",1,"1",,"0","A8N5232361065",1
2,"04/22/25 07:58:08","O",1,"1",,"0","A8N5232361065",1
2,"04/22/25 07:58:17","I",1,"1",,"0","A8N5232361065",1
2,"04/22/25 16:32:04","O",1,"1",,"0","A8N5232361065",1
2,"04/23/25 07:27:32","I",1,"1",,"0","A8N5232361065",1
2,"04/23/25 16:27:25","O",1,"1",,"0","A8N5232361065",1
2,"04/26/25 07:48:21","I",1,"1",,"0","A8N5232361065",1
2,"04/26/25 16:33:58","O",1,"1",,"0","A8N5232361065",1
2,"04/27/25 07:30:25","I",1,"1",,"0","A8N5232361065",1
2,"04/27/25 16:38:07","O",1,"1",,"0","A8N5232361065",1
2,"04/28/25 07:54:05","I",1,"1",,"0","A8N5232361065",1
2,"04/28/25 16:21:19","O",1,"1",,"0","A8N5232361065",1
2,"04/29/25 07:52:12","I",1,"1",,"0","A8N5232361065",1
2,"04/29/25 16:47:24","O",1,"1",,"0","A8N5232361065",1
2,"04/30/25 07:45:12","I",1,"1",,"0","A8N5232361065",1
2,"04/30/25 16:43:34","O",1,"1",,"0","A8N5232361065",1
2,"05/03/25 07:32:34","I",1,"1",,"0","A8N5232361065",1
2,"05/03/25 16:20:23","O",1,"1",,"0","A8N5232361065",1
2,"05/04/25 07:54:03","I",1,"1",,"0","A8N5232361065",1
2,"05/04/25 17:24:55","O",1,"1",,"0","A8N5232361065",1
2,"05/05/25 07:50:15","I",1,"1",,"0","A8N5232361065",1
2,"05/05/25 16:27:16","O",1,"1",,"0","A8N5232361065",1
2,"05/06/25 07:27:46","I",1,"1",,"0","A8N5232361065",1
